list: GranularLockingList, elements: 200, threadCount: 20, cost[ms]: 3, randomAdd[ms]: 785, randomContains[ms]: 6719, randomRemove[ms]: 6142
list: WholeLockingList, elements: 200, threadCount: 20, cost[ms]: 3, randomAdd[ms]: 766, randomContains[ms]: 113376, randomRemove[ms]: 103137
list: GranularLockingList, elements: 200, threadCount: 30, cost[ms]: 3, randomAdd[ms]: 699, randomContains[ms]: 4117, randomRemove[ms]: 3642
list: WholeLockingList, elements: 200, threadCount: 30, cost[ms]: 3, randomAdd[ms]: 710, randomContains[ms]: 99627, randomRemove[ms]: 91107
list: GranularLockingList, elements: 200, threadCount: 40, cost[ms]: 3, randomAdd[ms]: 779, randomContains[ms]: 4040, randomRemove[ms]: 3451
list: WholeLockingList, elements: 200, threadCount: 40, cost[ms]: 3, randomAdd[ms]: 776, randomContains[ms]: 116550, randomRemove[ms]: 99146
list: GranularLockingList, elements: 200, threadCount: 50, cost[ms]: 3, randomAdd[ms]: 766, randomContains[ms]: 3256, randomRemove[ms]: 2802
list: WholeLockingList, elements: 200, threadCount: 50, cost[ms]: 3, randomAdd[ms]: 791, randomContains[ms]: 107880, randomRemove[ms]: 99048
list: GranularLockingList, elements: 200, threadCount: 60, cost[ms]: 3, randomAdd[ms]: 684, randomContains[ms]: 2275, randomRemove[ms]: 2153
list: WholeLockingList, elements: 200, threadCount: 60, cost[ms]: 3, randomAdd[ms]: 683, randomContains[ms]: 97683, randomRemove[ms]: 88354
list: GranularLockingList, elements: 200, threadCount: 70, cost[ms]: 3, randomAdd[ms]: 535, randomContains[ms]: 1366, randomRemove[ms]: 1471
list: WholeLockingList, elements: 200, threadCount: 70, cost[ms]: 3, randomAdd[ms]: 530, randomContains[ms]: 60445, randomRemove[ms]: 54417
list: GranularLockingList, elements: 200, threadCount: 80, cost[ms]: 3, randomAdd[ms]: 619, randomContains[ms]: 1526, randomRemove[ms]: 1688
list: WholeLockingList, elements: 200, threadCount: 80, cost[ms]: 3, randomAdd[ms]: 616, randomContains[ms]: 75339, randomRemove[ms]: 64095
list: GranularLockingList, elements: 200, threadCount: 90, cost[ms]: 3, randomAdd[ms]: 689, randomContains[ms]: 1721, randomRemove[ms]: 1919
list: WholeLockingList, elements: 200, threadCount: 90, cost[ms]: 3, randomAdd[ms]: 687, randomContains[ms]: 95444, randomRemove[ms]: 76931
list: GranularLockingList, elements: 200, threadCount: 100, cost[ms]: 3, randomAdd[ms]: 780, randomContains[ms]: 1908, randomRemove[ms]: 2096
list: WholeLockingList, elements: 200, threadCount: 100, cost[ms]: 3, randomAdd[ms]: 759, randomContains[ms]: 112280, randomRemove[ms]: 97927
list: GranularLockingList, elements: 200, threadCount: 10, cost[ms]: 4, randomAdd[ms]: 967, randomContains[ms]: 16214, randomRemove[ms]: 13750
list: WholeLockingList, elements: 200, threadCount: 10, cost[ms]: 4, randomAdd[ms]: 949, randomContains[ms]: 150533, randomRemove[ms]: 136108
list: GranularLockingList, elements: 200, threadCount: 20, cost[ms]: 4, randomAdd[ms]: 988, randomContains[ms]: 9208, randomRemove[ms]: 7942
list: WholeLockingList, elements: 200, threadCount: 20, cost[ms]: 4, randomAdd[ms]: 962, randomContains[ms]: 136094, randomRemove[ms]: 123544
list: GranularLockingList, elements: 200, threadCount: 30, cost[ms]: 4, randomAdd[ms]: 879, randomContains[ms]: 5341, randomRemove[ms]: 4320
list: WholeLockingList, elements: 200, threadCount: 30, cost[ms]: 4, randomAdd[ms]: 858, randomContains[ms]: 129191, randomRemove[ms]: 111375
list: GranularLockingList, elements: 200, threadCount: 40, cost[ms]: 4, randomAdd[ms]: 983, randomContains[ms]: 5011, randomRemove[ms]: 4143
list: WholeLockingList, elements: 200, threadCount: 40, cost[ms]: 4, randomAdd[ms]: 959, randomContains[ms]: 150736, randomRemove[ms]: 130402
list: GranularLockingList, elements: 200, threadCount: 50, cost[ms]: 4, randomAdd[ms]: 987, randomContains[ms]: 4034, randomRemove[ms]: 3498
list: WholeLockingList, elements: 200, threadCount: 50, cost[ms]: 4, randomAdd[ms]: 956, randomContains[ms]: 146831, randomRemove[ms]: 134088
list: GranularLockingList, elements: 200, threadCount: 60, cost[ms]: 4, randomAdd[ms]: 883, randomContains[ms]: 2915, randomRemove[ms]: 2696
list: WholeLockingList, elements: 200, threadCount: 60, cost[ms]: 4, randomAdd[ms]: 863, randomContains[ms]: 117964, randomRemove[ms]: 104711
list: GranularLockingList, elements: 200, threadCount: 70, cost[ms]: 4, randomAdd[ms]: 691, randomContains[ms]: 1730, randomRemove[ms]: 1895
list: WholeLockingList, elements: 200, threadCount: 70, cost[ms]: 4, randomAdd[ms]: 677, randomContains[ms]: 71324, randomRemove[ms]: 66801
list: GranularLockingList, elements: 200, threadCount: 80, cost[ms]: 4, randomAdd[ms]: 791, randomContains[ms]: 1952, randomRemove[ms]: 2105
list: WholeLockingList, elements: 200, threadCount: 80, cost[ms]: 4, randomAdd[ms]: 778, randomContains[ms]: 100570, randomRemove[ms]: 88247
list: GranularLockingList, elements: 200, threadCount: 90, cost[ms]: 4, randomAdd[ms]: 893, randomContains[ms]: 2184, randomRemove[ms]: 2441
list: WholeLockingList, elements: 200, threadCount: 90, cost[ms]: 4, randomAdd[ms]: 882, randomContains[ms]: 124669, randomRemove[ms]: 102449
list: GranularLockingList, elements: 200, threadCount: 100, cost[ms]: 4, randomAdd[ms]: 989, randomContains[ms]: 2430, randomRemove[ms]: 2671
list: WholeLockingList, elements: 200, threadCount: 100, cost[ms]: 4, randomAdd[ms]: 983, randomContains[ms]: 144981, randomRemove[ms]: 119221
list: GranularLockingList, elements: 200, threadCount: 10, cost[ms]: 5, randomAdd[ms]: 1178, randomContains[ms]: 19949, randomRemove[ms]: 19168
list: WholeLockingList, elements: 200, threadCount: 10, cost[ms]: 5, randomAdd[ms]: 1159, randomContains[ms]: 192217, randomRemove[ms]: 154244
list: GranularLockingList, elements: 200, threadCount: 20, cost[ms]: 5, randomAdd[ms]: 1178, randomContains[ms]: 11854, randomRemove[ms]: 9628
list: WholeLockingList, elements: 200, threadCount: 20, cost[ms]: 5, randomAdd[ms]: 1186, randomContains[ms]: 172438, randomRemove[ms]: 154963
list: GranularLockingList, elements: 200, threadCount: 30, cost[ms]: 5, randomAdd[ms]: 1057, randomContains[ms]: 6415, randomRemove[ms]: 5545
list: WholeLockingList, elements: 200, threadCount: 30, cost[ms]: 5, randomAdd[ms]: 1065, randomContains[ms]: 145752, randomRemove[ms]: 125828
list: GranularLockingList, elements: 200, threadCount: 40, cost[ms]: 5, randomAdd[ms]: 1190, randomContains[ms]: 6067, randomRemove[ms]: 5265
list: WholeLockingList, elements: 200, threadCount: 40, cost[ms]: 5, randomAdd[ms]: 1166, randomContains[ms]: 179941, randomRemove[ms]: 167668
list: GranularLockingList, elements: 200, threadCount: 50, cost[ms]: 5, randomAdd[ms]: 1192, randomContains[ms]: 5001, randomRemove[ms]: 4396
list: WholeLockingList, elements: 200, threadCount: 50, cost[ms]: 5, randomAdd[ms]: 1180, randomContains[ms]: 180268, randomRemove[ms]: 153349
list: GranularLockingList, elements: 200, threadCount: 60, cost[ms]: 5, randomAdd[ms]: 1063, randomContains[ms]: 3498, randomRemove[ms]: 3223
list: WholeLockingList, elements: 200, threadCount: 60, cost[ms]: 5, randomAdd[ms]: 1043, randomContains[ms]: 154144, randomRemove[ms]: 136525
list: GranularLockingList, elements: 200, threadCount: 70, cost[ms]: 5, randomAdd[ms]: 824, randomContains[ms]: 2042, randomRemove[ms]: 2266
list: WholeLockingList, elements: 200, threadCount: 70, cost[ms]: 5, randomAdd[ms]: 814, randomContains[ms]: 96138, randomRemove[ms]: 82061
list: GranularLockingList, elements: 200, threadCount: 80, cost[ms]: 5, randomAdd[ms]: 942, randomContains[ms]: 2286, randomRemove[ms]: 2573
list: WholeLockingList, elements: 200, threadCount: 80, cost[ms]: 5, randomAdd[ms]: 927, randomContains[ms]: 122637, randomRemove[ms]: 107283
list: GranularLockingList, elements: 200, threadCount: 90, cost[ms]: 5, randomAdd[ms]: 1065, randomContains[ms]: 2640, randomRemove[ms]: 2845
list: WholeLockingList, elements: 200, threadCount: 90, cost[ms]: 5, randomAdd[ms]: 1053, randomContains[ms]: 146770, randomRemove[ms]: 126699
list: GranularLockingList, elements: 200, threadCount: 100, cost[ms]: 5, randomAdd[ms]: 1189, randomContains[ms]: 2938, randomRemove[ms]: 3228
list: WholeLockingList, elements: 200, threadCount: 100, cost[ms]: 5, randomAdd[ms]: 1178, randomContains[ms]: 174251, randomRemove[ms]: 158829
